id;m_source;c_source;m_country_code;c_country_code;m_source_id;c_source_id;validation_status
4330310;AZT;CMA;LT;LT;047757;21941;gpt_2
4330311;AZT;CMA;LT;LT;048143;15609;gpt_2
4330320;AZT;CMA;LT;LT;210387;16802;gpt_2
4330337;AZT;CMA;LT;LT;383898965537;16495;gpt_2
4330347;AZT;CMA;LT;LT;732013301378;15822;gpt_2
4330348;AZT;CMA;LT;LT;732013302115;15735;gpt_2
4330350;AZT;CMA;LT;LT;732013250164;19347;gpt_2
4330374;AZT;CMA;LT;LT;215272;17830;gpt_2
4330382;AZT;CMA;LT;LT;642742600201;18897;gpt_2
4330475;AZT;CMA;LT;LT;477016110454;23204;gpt_2
4330476;AZT;CMA;LT;LT;477016110452;23203;gpt_2
4330500;AZT;CMA;LT;LT;477016110383;19365;gpt_2
4330506;AZT;CMA;LT;LT;880969822037;22951;gpt_2
4330508;AZT;CMA;LT;LT;477016110455;23205;gpt_2
4330509;AZT;CMA;LT;LT;477016110453;26275;gpt_2
4330514;AZT;CMA;LT;LT;225592;22491;gpt_2
4330528;AZT;CMA;LT;LT;477016110451;23628;gpt_2
4330536;AZT;CMA;LT;LT;477905034031;19096;gpt_2
4330557;AZT;CMA;LT;LT;206056;15743;gpt_2
4330558;AZT;CMA;LT;LT;222625;20869;gpt_2
4330575;AZT;CMA;LT;LT;729001011545;20063;gpt_2
4330577;AZT;CMA;LT;LT;471900369004;16986;gpt_2
4330596;AZT;CMA;LT;LT;053847;22228;gpt_2
4330600;AZT;CMA;LT;LT;220208;17570;gpt_2
4330626;AZT;CMA;LT;LT;728001018995;19438;gpt_2
4330630;AZT;CMA;LT;LT;477902838024;18406;gpt_2
4330708;AZT;CMA;LT;LT;376016544062;18112;gpt_2
4330735;AZT;CMA;LT;LT;220318;23105;gpt_2
4330747;AZT;CMA;LT;LT;477016109822;15869;gpt_2
4330759;AZT;CMA;LT;LT;539152094822;15566;gpt_2
4330763;AZT;CMA;LT;LT;471900340291;17280;gpt_2
4330934;AZT;CMA;LT;LT;641053005290;17442;gpt_2
4330984;AZT;CMA;LT;LT;223968;26253;gpt_2
4330996;AZT;CMA;LT;LT;859401486507;22556;gpt_2
4331019;AZT;CMA;LT;LT;800092121700;20091;gpt_2
4331023;AZT;CMA;LT;LT;859516528620;15065;gpt_2
4331042;AZT;CMA;LT;LT;991069;15821;gpt_2
4331136;AZT;CMA;LT;LT;502935400213;22085;gpt_2
4331148;AZT;CMA;LT;LT;400866621401;22118;gpt_2
4331150;AZT;CMA;LT;LT;503771614027;21829;gpt_2
4331156;AZT;CMA;LT;LT;477902838017;17708;gpt_2
4331159;AZT;CMA;LT;LT;477000133457;16507;gpt_2
4331207;AZT;CMA;LT;LT;805141723723;18695;gpt_2
4331220;AZT;CMA;LT;LT;502180770313;21892;gpt_2
4331230;AZT;CMA;LT;LT;859401486511;22613;gpt_2
4331257;AZT;CMA;LT;LT;761241242761;17879;gpt_2
4331274;AZT;CMA;LT;LT;477902109130;16435;gpt_2
4331278;AZT;BNU;LT;LT;734007478001;10085381;gpt_2
4331280;AZT;CMA;LT;LT;803319635241;25225;gpt_2
4331294;AZT;CMA;LT;LT;403067401746;18122;gpt_2
4331296;AZT;CMA;LT;LT;404950074996;14850;gpt_2
4331333;AZT;CMA;LT;LT;475100808401;16580;gpt_2
4331347;AZT;BNU;LT;LT;734007478003;10085384;gpt_2
4331365;AZT;CMA;LT;LT;222175;21058;gpt_2
4331384;AZT;CMA;LT;LT;503588300010;18233;gpt_2
4331403;AZT;CMA;LT;LT;859401486509;22042;gpt_2
4331407;AZT;CMA;LT;LT;477902109047;15348;gpt_2
4331427;AZT;CMA;LT;LT;859401486508;14931;gpt_2
4331439;AZT;CMA;LT;LT;805141761123;18697;gpt_2
4331470;AZT;BNU;LT;LT;734007478050;10085392;gpt_2
4331514;AZT;CMA;LT;LT;475083700116;22535;gpt_2
4331535;AZT;BNU;LT;LT;734007478002;10085382;gpt_2
4331542;AZT;BNU;LT;LT;734007475010;10085350;gpt_2
4331566;AZT;BNU;LT;LT;590262761698;10085245;gpt_2
4331568;AZT;BNU;LT;LT;734007476303;10085367;gpt_2
4331570;AZT;BNU;LT;LT;734007476302;10085367;gpt_2
4331593;AZT;CMA;LT;LT;761241242792;17882;gpt_2
4331605;AZT;CMA;LT;LT;805141723719;18691;gpt_2
4331626;AZT;CMA;LT;LT;731740000234;14922;gpt_2
4331663;AZT;CMA;LT;LT;500034708406;16138;gpt_2
4331669;AZT;BNU;LT;LT;734007478005;10085385;gpt_2
4331693;AZT;CMA;LT;LT;570945500603;15260;gpt_2
4331713;AZT;CMA;LT;LT;529093101665;19075;gpt_2
4331714;AZT;CMA;LT;LT;823247;16376;gpt_2
4331739;AZT;CMA;LT;LT;590051669032;21954;gpt_2
4331740;AZT;BNU;LT;LT;734007475202;10085362;gpt_2
4331746;AZT;CMA;LT;LT;761241242776;17878;gpt_2
4331752;AZT;CMA;LT;LT;219829;25265;gpt_2
4331753;AZT;CMA;LT;LT;219998;20292;gpt_2
4331754;AZT;CMA;LT;LT;221032;23107;gpt_2
4331771;AZT;CMA;LT;LT;217971;18723;gpt_2
4331795;AZT;CMA;LT;LT;477903237016;15712;gpt_2
4331802;AZT;CMA;LT;LT;477901799336;17847;gpt_2
4331808;AZT;CMA;LT;LT;803247202374;20813;gpt_2
4331816;AZT;CMA;LT;LT;2587860;20652;gpt_2
4331833;AZT;CMA;LT;LT;805141723721;18693;gpt_2
4331843;AZT;CMA;LT;LT;803247202372;20814;gpt_2
